Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Farmacii, Proprietate publica, Calarasi, 93487 DRAGALINA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 93539 DRAGOS VODA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 102838 FRASINET, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 102945 FRUMUSANI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 103014 FUNDENI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 179962 GALBINASI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 93664 GRADISTEA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 103764 ILEANA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 93771 INDEPENDENTA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 93815 JEGALIA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 93851 LEHLIU, Anul 2024, Numar, 1
Farmacii, Proprietate publica, Calarasi, 104083 LUICA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 104181 MANASTIREA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 100638 MITRENI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 92587 MODELU, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 104323 NANA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 104341 NICOLAE BALCESCU, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 94223 PERISORU, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 104635 PLATARESTI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 104751 RADOVANU, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 94312 ROSETI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 104886 SARULESTI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 105222 SOHATU, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 105384 SOLDANU, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 105259 SPANTOV, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 94562 STEFAN CEL MARE, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 94580 STEFAN VODA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 105605 ULMENI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 94651 UNIREA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 94731 VALCELELE, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 105712 VALEA ARGOVEI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 105829 VASILATI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Calarasi, 94768 VLAD TEPES, Anul 2024, Numar, 0
Farmacii, Proprietate privata, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2024, Numar, 23
Farmacii, Proprietate privata, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2024, Numar, 9
Farmacii, Proprietate privata, Calarasi, 101458 ORAS BUDESTI, Anul 2024, Numar, 2
Farmacii, Proprietate privata, Calarasi, 103032 ORAS FUNDULEA, Anul 2024, Numar, 2
Farmacii, Proprietate privata, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2024, Numar, 3
Farmacii, Proprietate privata, Calarasi, 94125 ALEXANDRU ODOBESCU, Anul 2024, Numar, 0
Farmacii, Proprietate privata, Calarasi, 101083 BELCIUGATELE, Anul 2024, Numar, 0
Farmacii, Proprietate privata, Calarasi, 92961 BORCEA, Anul 2024, Numar, 3
Farmacii, Proprietate privata, Calarasi, 101724 CASCIOARELE, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 101804 CHIRNOGI, Anul 2024, Numar, 3
Farmacii, Proprietate privata, Calarasi, 101822 CHISELET, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 93085 CIOCANESTI, Anul 2024, Numar, 2
Farmacii, Proprietate privata, Calarasi, 180055 CRIVAT, Anul 2024, Numar, 2
Farmacii, Proprietate privata, Calarasi, 102419 CURCANI, Anul 2024, Numar, 2
Farmacii, Proprietate privata, Calarasi, 93281 CUZA VODA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 93325 DICHISENI, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 93370 DOR MARUNT, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 93441 DOROBANTU, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 93487 DRAGALINA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 93539 DRAGOS VODA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 102838 FRASINET, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 102945 FRUMUSANI, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 103014 FUNDENI, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 179962 GALBINASI, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 93664 GRADISTEA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 103764 ILEANA, Anul 2024, Numar, 2
Farmacii, Proprietate privata, Calarasi, 93771 INDEPENDENTA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 93815 JEGALIA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 93851 LEHLIU, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 104083 LUICA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 104181 MANASTIREA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 100638 MITRENI, Anul 2024, Numar, 2
Farmacii, Proprietate privata, Calarasi, 92587 MODELU, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 104323 NANA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 104341 NICOLAE BALCESCU, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 94223 PERISORU, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 104635 PLATARESTI, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 104751 RADOVANU, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 94312 ROSETI, Anul 2024, Numar, 2
Farmacii, Proprietate privata, Calarasi, 104886 SARULESTI, Anul 2024, Numar, 0
Farmacii, Proprietate privata, Calarasi, 105222 SOHATU, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 105384 SOLDANU, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 105259 SPANTOV, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 94562 STEFAN CEL MARE, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 94580 STEFAN VODA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 105605 ULMENI, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 94651 UNIREA, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 94731 VALCELELE, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 105712 VALEA ARGOVEI, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 105829 VASILATI, Anul 2024, Numar, 1
Farmacii, Proprietate privata, Calarasi, 94768 VLAD TEPES, Anul 2024, Numar, 1
Puncte farmaceutice, Proprietate publica, Calarasi, 101083 BELCIUGATELE, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 92961 BORCEA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 101724 CASCIOARELE, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 101804 CHIRNOGI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 93085 CIOCANESTI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 102419 CURCANI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 93281 CUZA VODA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 93325 DICHISENI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 93370 DOR MARUNT, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 93487 DRAGALINA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 102945 FRUMUSANI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 103014 FUNDENI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 179962 GALBINASI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 93664 GRADISTEA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 103764 ILEANA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 93815 JEGALIA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 93851 LEHLIU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 93931 LUPSANU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 104181 MANASTIREA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 92587 MODELU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 104635 PLATARESTI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 104751 RADOVANU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 94312 ROSETI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 104886 SARULESTI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 105222 SOHATU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 105259 SPANTOV, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 94580 STEFAN VODA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 105605 ULMENI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 94606 ULMU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 94731 VALCELELE, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 105829 VASILATI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate publica, Calarasi, 94768 VLAD TEPES, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 101083 BELCIUGATELE, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 92961 BORCEA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 101724 CASCIOARELE, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 101804 CHIRNOGI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 93085 CIOCANESTI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 102419 CURCANI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 93281 CUZA VODA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 93325 DICHISENI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 93370 DOR MARUNT, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 93487 DRAGALINA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 102945 FRUMUSANI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 103014 FUNDENI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 179962 GALBINASI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 93664 GRADISTEA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 103764 ILEANA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 93815 JEGALIA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 93851 LEHLIU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 93931 LUPSANU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 104181 MANASTIREA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 92587 MODELU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 104635 PLATARESTI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 104751 RADOVANU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 94312 ROSETI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 104886 SARULESTI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 105222 SOHATU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 105259 SPANTOV, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 94580 STEFAN VODA, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 105605 ULMENI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 94606 ULMU, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 94731 VALCELELE, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 105829 VASILATI, Anul 2024, Numar, 0
Puncte farmaceutice, Proprietate privata, Calarasi, 94768 VLAD TEPES, Anul 2024, Numar, 0
Laboratoare medicale, Proprietate publica, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2024, Numar, 20
Laboratoare medicale, Proprietate publica, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2024, Numar, 5
Laboratoare medicale, Proprietate publica, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2024, Numar, 6
Laboratoare medicale, Proprietate publica, Calarasi, 93851 LEHLIU, Anul 2024, Numar, 2
Laboratoare medicale, Proprietate privata, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2024, Numar, 7
Laboratoare medicale, Proprietate privata, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2024, Numar, 1
Laboratoare medicale, Proprietate privata, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2024, Numar, 1
Laboratoare medicale, Proprietate privata, Calarasi, 93851 LEHLIU, Anul 2024, Numar, 0
Laboratoare de tehnica dentara, Proprietate publica, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2024, Numar, 0
Laboratoare de tehnica dentara, Proprietate publica, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2024, Numar, 0
Laboratoare de tehnica dentara, Proprietate publica, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2024, Numar, 0
Laboratoare de tehnica dentara, Proprietate privata, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2024, Numar, 3
Laboratoare de tehnica dentara, Proprietate privata, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2024, Numar, 1
Laboratoare de tehnica dentara, Proprietate privata, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2024, Numar, 0
Centre de transfuzie, Proprietate publica, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2024, Numar, 1
Alte tipuri de cabinete medicale, Proprietate publica, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2024, Numar, 1
Alte tipuri de cabinete medicale, Proprietate publica, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2024, Numar, 0
Alte tipuri de cabinete medicale, Proprietate publica, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2024, Numar, 0
Alte tipuri de cabinete medicale, Proprietate privata, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2024, Numar, 1
Alte tipuri de cabinete medicale, Proprietate privata, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2024, Numar, 0
Alte tipuri de cabinete medicale, Proprietate privata, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2024, Numar, 0
